,player,span,mat,wickets,econ,sr,start_year,end_year,career_length
0,DJ Bravo,2007-2024,433,496,8.42,16.9,2007,2024,18
1,SP Narine,2011-2025,409,442,6.09,21.3,2011,2025,15
2,Rashid Khan,2016-2025,314,408,6.52,17.8,2016,2025,10
3,AD Russell,2012-2025,392,364,8.75,16.4,2012,2025,14
4,Shakib Al Hasan,2007-2024,308,330,6.88,19.3,2007,2024,18
5,PP Chawla,2007-2024,293,316,7.56,19.3,2007,2024,18
6,Imran Tahir,2013-2025,226,303,6.92,16.2,2013,2025,13
7,A Mishra,2007-2024,253,277,7.19,18.6,2007,2024,18
8,YS Chahal,2009-2025,239,275,7.45,18.4,2009,2025,17
9,R Ashwin,2007-2025,286,271,7.09,22.6,2007,2025,19
10,SL Malinga,2007-2019,195,263,7.11,16.6,2007,2019,13
11,JJ Bumrah,2013-2024,181,232,6.97,17.8,2013,2024,12
12,B Kumar,2009-2025,221,227,7.3,21.2,2009,2025,17
13,JD Unadkat,2010-2024,192,226,8.03,18.1,2010,2024,15
14,Mohammad Amir,2009-2024,189,223,7.1,18.5,2009,2024,16
15,A Zampa,2012-2025,181,223,7.38,17.5,2012,2025,14
16,Harbhajan Singh,2007-2021,251,222,6.86,23.1,2007,2021,15
17,HV Patel,2011-2025,177,217,8.25,16.6,2011,2025,15
18,Sandeep Sharma,2013-2025,197,217,7.59,19.9,2013,2025,13
19,Mustafizur Rahman,2015-2025,176,210,7.59,18.5,2015,2025,11
20,AJ Tye,2014-2025,153,209,8.19,15.7,2014,2025,12
21,Wahab Riaz,2014-2023,164,209,7.75,17.1,2014,2023,10
22,Mohammed Shami,2010-2025,160,197,8.1,17.5,2010,2025,16
23,Sohail Tanvir,2007-2022,187,197,7.17,20.1,2007,2022,16
24,RA Jadeja,2007-2025,293,196,7.7,24.1,2007,2025,19
25,TA Boult,2014-2025,163,195,7.85,18.7,2014,2025,12
26,KA Pollard,2009-2024,493,194,8.52,19.8,2009,2024,16
27,Mohammad Nabi,2010-2025,231,191,6.9,21.5,2010,2025,16
28,UT Yadav,2009-2024,185,190,8.3,20.0,2009,2024,16
29,Imad Wasim,2016-2024,210,181,6.63,23.4,2016,2024,9
30,R Vinay Kumar,2007-2019,170,181,7.86,19.2,2007,2019,13
31,SR Watson,2007-2020,297,180,8.04,21.1,2007,2020,14
32,AR Patel,2013-2025,218,179,7.0,25.1,2013,2025,13
33,K Rabada,2016-2025,132,179,8.29,16.2,2016,2025,10
34,S Kaul,2012-2023,142,178,7.65,17.2,2012,2023,12
35,SA Abbott,2011-2025,127,176,8.52,14.5,2011,2025,15
36,Shahid Afridi,2007-2022,166,176,6.96,19.7,2007,2022,16
37,NLTC Perera,2009-2025,249,175,8.63,19.3,2009,2025,17
38,Shadab Khan,2017-2024,148,175,7.23,17.9,2017,2024,8
39,JP Behrendorff,2012-2025,138,174,7.45,17.1,2012,2025,14
40,KK Cooper,2011-2018,140,172,7.4,16.7,2011,2018,8
41,JP Faulkner,2011-2022,153,172,8.14,17.8,2011,2022,12
42,Fawad Ahmed,2013-2023,166,169,6.99,21.2,2013,2023,11
43,SN Thakur,2015-2025,154,169,8.94,18.4,2015,2025,11
44,DW Steyn,2008-2021,156,167,6.94,20.7,2008,2021,14
45,JO Holder,2013-2025,179,166,8.19,21.6,2013,2025,13
46,CJ Jordan,2014-2025,155,166,8.77,18.9,2014,2025,12
47,Mujeeb Ur Rahman,2017-2025,152,163,6.65,21.5,2017,2025,9
48,KW Richardson,2011-2025,135,163,7.96,17.6,2011,2025,15
49,MM Sharma,2013-2025,163,163,8.46,19.7,2013,2025,13
50,Taskin Ahmed,2013-2025,120,161,7.84,15.6,2013,2025,13
51,DT Christian,2010-2025,221,158,8.26,20.3,2010,2025,16
52,NM Coulter-Nile,2011-2024,132,158,7.52,18.1,2011,2024,14
53,PW Hasaranga,2017-2025,103,158,6.94,14.0,2017,2025,9
54,CJ Green,2015-2025,194,157,6.85,24.3,2015,2025,11
55,KV Sharma,2007-2024,178,154,7.69,20.5,2007,2024,18
56,Mohammed Siraj,2016-2025,132,153,8.25,18.4,2016,2025,10
57,PP Ojha,2007-2018,139,153,7.24,18.5,2007,2018,12
58,DS Kulkarni,2007-2023,160,151,7.88,21.4,2007,2023,17
59,CR Brathwaite,2013-2024,168,149,8.28,19.5,2013,2024,12
60,IK Pathan,2007-2020,165,149,7.58,21.8,2007,2020,14
61,BJ Dwarshuis,2014-2025,117,148,8.12,16.6,2014,2025,12
62,Hasan Ali,2016-2024,112,147,7.95,17.3,2016,2024,9
63,Kuldeep Yadav,2014-2025,129,147,7.65,18.7,2014,2025,12
64,DL Chahar,2010-2025,131,146,7.71,18.9,2010,2025,16
65,Haris Rauf,2018-2024,118,146,8.3,17.9,2018,2024,7
66,I Sharma,2007-2025,165,146,7.8,23.6,2007,2025,19
67,B Laughlin,2011-2021,127,144,8.13,18.0,2011,2021,11
68,A Nehra,2008-2017,115,143,7.62,17.4,2008,2017,10
69,R Rampaul,2007-2022,110,143,8.0,16.3,2007,2022,16
70,RP Singh,2007-2016,130,143,7.48,19.9,2007,2016,10
71,D Wiese,2012-2025,160,140,8.19,19.5,2012,2025,14
72,Arshdeep Singh,2019-2025,108,137,8.47,16.7,2019,2025,7
73,KK Ahmed,2017-2025,100,136,8.31,16.5,2017,2025,9
74,P Kumar,2007-2018,168,136,7.45,26.0,2007,2018,12
75,Shaheen Shah Afridi,2018-2025,96,135,7.75,16.2,2018,2025,8
76,AB Dinda,2008-2021,137,134,7.71,20.6,2008,2021,14
77,Naveen-ul-Haq,2019-2025,122,134,8.58,18.7,2019,2025,7
78,DR Sams,2017-2025,110,134,8.6,16.5,2017,2025,9
79,KH Pandya,2013-2025,191,133,7.17,25.2,2013,2025,13
80,CH Morris,2012-2021,109,132,7.96,17.4,2012,2021,10
81,Z Khan,2007-2017,128,130,7.51,21.6,2007,2017,11
82,MA Starc,2011-2025,90,130,8.19,15.0,2011,2025,15
83,RD Chahar,2017-2024,121,129,7.48,20.4,2017,2024,8
84,RR Emrit,2012-2020,120,129,7.73,18.5,2012,2020,9
85,A Nortje,2020-2024,88,128,7.85,15.6,2020,2024,5
86,HH Pandya,2013-2025,200,128,8.41,19.5,2013,2025,13
87,Avesh Khan,2017-2025,103,125,8.41,17.7,2017,2025,9
88,L Balaji,2008-2014,103,125,7.76,17.0,2008,2014,7
89,PJ Cummins,2011-2025,120,125,8.63,21.6,2011,2025,15
90,AS Joseph,2016-2024,107,125,8.37,17.5,2016,2024,9
91,S Nadeem,2007-2023,150,125,6.76,25.2,2007,2023,17
92,S Gopal,2014-2024,104,124,7.48,15.6,2014,2024,11
93,RP Meredith,2018-2025,96,122,8.4,17.1,2018,2025,8
94,Noor Ahmad,2020-2025,103,122,7.12,18.3,2020,2025,6
95,JC Archer,2017-2025,96,121,7.58,18.0,2017,2025,9
96,T Shamsi,2015-2025,101,121,7.66,17.2,2015,2025,11
97,TU Deshpande,2015-2025,83,119,8.6,15.0,2015,2025,11
98,PM Siddle,2009-2025,101,119,7.53,17.4,2009,2025,17
99,M Morkel,2007-2021,107,118,7.7,20.5,2007,2021,15
100,Ravi Bishnoi,2019-2025,109,118,7.39,20.3,2019,2025,7
101,Rubel Hossain,2009-2025,97,118,8.13,16.6,2009,2025,17
102,MP Stoinis,2012-2025,244,118,9.18,17.8,2012,2025,14
103,R Dhawan,2007-2024,134,117,7.58,20.8,2007,2024,18
104,M Muralidaran,2008-2014,111,117,6.38,21.7,2008,2014,7
105,AJ Hosein,2014-2025,126,116,6.77,21.3,2014,2025,12
106,JA Morkel,2007-2018,140,116,8.13,20.5,2007,2018,12
107,Faheem Ashraf,2018-2025,100,115,8.22,17.2,2018,2025,8
108,MG Neser,2011-2025,104,115,8.49,17.6,2011,2025,15
109,M Theekshana,2020-2025,109,115,7.02,21.8,2020,2025,6
110,S Badree,2009-2018,119,114,6.5,22.0,2009,2018,10
111,SW Tait,2010-2017,87,114,7.99,16.8,2010,2017,8
112,CJ Boyce,2012-2025,105,113,7.55,19.5,2012,2025,14
113,K Santokie,2013-2020,82,112,7.7,16.4,2013,2020,8
114,R Bhatia,2007-2019,146,111,7.19,22.7,2007,2019,13
115,BCJ Cutting,2012-2024,182,111,9.0,21.3,2012,2024,13
116,Mashrafe Mortaza,2007-2024,134,111,7.24,23.8,2007,2024,18
117,CV Varun,2019-2025,95,111,7.38,19.0,2019,2025,7
118,NT Ellis,2018-2025,93,110,8.24,18.6,2018,2025,8
119,Mohammad Nawaz (3),2016-2025,135,110,7.59,22.3,2016,2025,10
120,SNJ O'Keefe,2010-2024,115,110,6.59,20.3,2010,2024,15
121,JH Kallis,2008-2016,160,109,7.56,24.3,2008,2016,9
122,LI Meriwala,2013-2024,72,109,7.23,13.9,2013,2024,12
123,M Ashwin,2016-2024,110,108,7.31,20.9,2016,2024,9
124,Mohammad Sami,2010-2019,94,108,6.95,19.0,2010,2019,10
125,DE Bollinger,2009-2017,100,107,7.65,20.1,2009,2017,9
126,A Choudhary,2013-2024,83,107,7.38,16.5,2013,2024,12
127,GJ Maxwell,2010-2025,304,107,7.83,24.8,2010,2025,16
128,WD Parnell,2009-2024,93,106,7.89,17.1,2009,2024,16
129,S Lamichhane,2018-2024,89,105,6.95,18.7,2018,2024,7
130,MJ McClenaghan,2010-2020,98,105,8.61,20.3,2010,2020,11
131,AS Rajpoot,2013-2021,87,105,7.75,16.6,2013,2021,9
132,JA Richardson,2016-2025,79,105,7.9,16.5,2016,2025,10
133,KOK Williams,2016-2022,87,105,8.62,16.2,2016,2022,7
134,MG Johnson,2007-2018,95,104,7.67,20.6,2007,2018,12
135,CV Milind,2013-2024,73,104,7.52,14.9,2013,2024,12
136,DP Nannes,2009-2015,94,104,7.19,20.2,2009,2015,7
137,PJ Sangwan,2007-2023,102,104,7.7,20.2,2007,2023,17
138,MT Steketee,2014-2025,78,104,8.94,15.4,2014,2025,12
139,MM Ali,2013-2025,158,103,7.35,18.7,2013,2025,13
140,SK Trivedi,2007-2015,103,103,7.68,20.4,2007,2015,9
141,S Aravind,2007-2018,83,102,7.79,16.5,2007,2018,12
142,D Pretorius,2012-2025,90,101,8.51,15.9,2012,2025,14
143,Al-Amin Hossain,2012-2025,99,99,8.97,19.5,2012,2025,14
144,Arafat Sunny,2012-2025,106,99,7.01,19.3,2012,2025,14
145,MM Patel,2008-2020,96,99,6.91,21.2,2008,2020,13
146,R Shepherd,2018-2024,102,99,8.76,16.7,2018,2024,7
147,TG Southee,2010-2024,91,99,8.11,20.4,2010,2024,15
148,GB Hogg,2011-2018,113,98,6.95,24.4,2011,2018,8
149,MS Gony,2008-2020,91,97,7.71,19.5,2008,2020,13
150,T Natarajan,2017-2024,91,97,8.49,20.0,2017,2024,8
151,SS Cottrell,2013-2023,85,96,7.85,17.8,2013,2023,11
152,J Botha,2009-2021,144,95,6.9,27.8,2009,2021,13
153,JR Hazlewood,2011-2025,74,95,7.37,17.5,2011,2025,15
154,P Negi,2011-2021,118,95,7.46,19.8,2011,2021,11
155,OC McCoy,2017-2024,87,94,8.72,18.2,2017,2024,8
156,VR Aaron,2009-2022,94,93,8.51,20.4,2009,2022,14
157,M Markande,2018-2024,86,92,7.8,18.7,2018,2024,7
158,YK Pathan,2007-2019,262,92,7.5,22.2,2007,2019,13
159,Mohammad Saifuddin,2016-2025,73,91,8.01,16.3,2016,2025,10
160,Basil Thampi,2014-2024,88,90,8.35,20.2,2014,2024,11
161,SR Patel,2012-2024,108,89,6.91,20.6,2012,2024,13
162,AA Sheth,2015-2024,63,89,7.99,14.1,2015,2024,10
163,SM Curran,2019-2025,91,88,9.4,19.8,2019,2025,7
164,M Jansen,2021-2025,76,88,8.2,18.4,2021,2025,5
165,Qais Ahmad,2018-2023,74,87,7.77,17.7,2018,2023,6
166,Yash Thakur,2019-2024,62,87,8.11,14.4,2019,2024,6
167,MC Henriques,2009-2025,220,86,8.01,21.2,2009,2025,17
168,Iqbal Abdulla,2007-2021,104,86,6.86,23.8,2007,2021,15
169,B Lee,2007-2015,97,86,7.15,25.8,2007,2015,9
170,JM Bird,2012-2025,87,85,7.39,20.7,2012,2025,14
171,I Udana,2009-2024,87,85,8.76,19.8,2009,2024,16
172,Bipul Sharma,2007-2021,105,84,6.23,21.1,2007,2021,15
173,Shafiul Islam,2010-2025,87,84,8.57,19.8,2010,2025,16
174,CV Stephen,2015-2024,49,84,6.95,12.6,2015,2024,10
175,RE van der Merwe,2009-2023,88,83,6.89,18.4,2009,2023,15
176,LH Ferguson,2017-2025,69,81,8.25,18.5,2017,2025,9
177,Mahedi Hasan,2016-2025,98,81,7.16,22.2,2016,2025,10
178,Mohammad Irfan,2015-2024,87,81,6.98,24.0,2015,2024,10
179,R Sai Kishore,2018-2025,69,81,6.03,18.2,2018,2025,8
180,WA Agar,2017-2025,64,80,9.13,15.8,2017,2025,9
181,Mehidy Hasan Miraz,2016-2025,112,80,7.57,24.0,2016,2025,10
182,Mohsin Khan,2018-2024,62,80,7.6,16.0,2018,2024,7
183,DG Nalkande,2019-2024,51,80,8.31,12.5,2019,2024,6
184,Mohammad Hasnain,2019-2025,63,79,8.82,16.9,2019,2025,7
185,Shoaib Malik,2007-2024,314,79,6.96,27.6,2007,2024,18
186,Usama Mir,2016-2025,65,79,7.99,17.2,2016,2025,10
187,Abu Hider,2015-2025,76,78,8.32,18.0,2015,2025,11
188,AN Ahmed,2007-2021,80,78,7.53,19.5,2007,2021,15
189,TS Mills,2016-2024,64,78,8.52,17.9,2016,2024,9
190,TS Rogers,2017-2025,61,78,8.42,17.0,2017,2025,9
191,S Sandeep Warrier,2013-2024,83,78,7.34,21.3,2013,2024,12
192,P Awana,2010-2016,59,77,7.49,17.1,2010,2016,7
193,TK Curran,2018-2025,61,77,8.91,15.8,2018,2025,8
194,Harpreet Brar,2019-2024,88,77,7.29,21.3,2019,2024,6
195,BW Hilfenhaus,2011-2017,66,77,7.88,18.2,2011,2017,7
196,PP Jaswal,2014-2023,60,77,7.62,14.5,2014,2023,10
