Date,Match,Overs,Runs,Wick,Mdns,Economy
2025-03-23,SRH vs RR,3.0,33,1,0,11.0
2025-03-09,IND vs NZ,9.0,74,1,0,8.22
2025-03-04,IND vs AUS,10.0,48,3,0,4.8
2025-03-02,IND vs NZ,4.0,15,0,0,3.75
2025-02-23,IND vs PAK,8.0,43,0,0,5.37
2025-02-20,IND vs BAN,10.0,53,5,0,5.3
2025-02-09,IND vs ENG,7.5,66,1,0,8.42
2025-02-06,IND vs ENG,8.0,38,1,1,4.75
2025-02-02,IND vs ENG,2.3,25,3,0,10.0
2025-01-28,IND vs ENG,3.0,25,0,0,8.33
2023-11-19,IND vs AUS,7.0,47,1,1,6.71
2023-11-15,IND vs NZ,9.5,57,7,0,5.79
2023-11-12,IND vs NED,6.0,41,0,0,6.83
2023-11-05,IND vs SA,4.0,18,2,0,4.5
2023-11-02,IND vs SL,5.0,18,5,1,3.6
2023-10-29,IND vs ENG,7.0,22,4,2,3.14
2023-10-22,IND vs NZ,10.0,54,5,0,5.4
2023-09-24,IND vs AUS,6.0,39,1,0,6.5
2023-09-22,IND vs AUS,10.0,51,5,1,5.1
2023-09-15,IND vs BAN,8.0,32,2,1,4.0
2023-09-04,IND vs NEP,7.0,29,1,0,4.14
2023-05-29,GT vs CSK,3.0,29,0,0,9.66
2023-05-26,GT vs MI,3.0,41,2,0,13.66
2023-05-23,GT vs CSK,4.0,27,2,0,6.75
2023-05-21,GT vs BLR,4.0,39,1,0,9.75
2023-05-15,GT vs SRH,4.0,21,3,0,5.25
2023-05-12,GT vs MI,4.0,53,0,0,13.25
2023-05-07,GT vs LSG,4.0,37,1,0,9.25
2023-05-05,GT vs RR,4.0,27,1,0,6.75
2023-05-02,GT vs DC,4.0,11,4,0,2.75
2023-04-29,GT vs KOL,4.0,33,3,0,8.25
2023-04-25,GT vs MI,4.0,18,0,0,4.5
2023-04-22,GT vs LSG,3.0,18,0,1,6.0
2023-04-16,GT vs RR,4.0,25,3,1,6.25
2023-04-13,GT vs PBKS,4.0,44,1,0,11.0
2023-04-09,GT vs KOL,4.0,28,1,0,7.0
2023-04-04,GT vs DC,4.0,41,3,0,10.25
2023-03-31,GT vs CSK,4.0,29,2,0,7.25
2023-03-22,IND vs AUS,6.0,37,0,0,6.16
2023-03-19,IND vs AUS,3.0,29,0,0,9.66
2023-03-17,IND vs AUS,6.0,17,3,2,2.83
2023-01-21,IND vs NZ,6.0,18,3,1,3.0
2023-01-18,IND vs NZ,10.0,69,1,1,6.9
2023-01-15,IND vs SL,6.0,20,2,2,3.33
2023-01-12,IND vs SL,7.0,43,0,0,6.14
2023-01-10,IND vs SL,9.0,67,1,0,7.44
2022-11-10,IND vs ENG,3.0,39,0,0,13.0
2022-11-06,IND vs ZIM,2.0,14,2,0,7.0
2022-11-02,IND vs BAN,3.0,25,1,0,8.33
2022-10-30,IND vs SA,4.0,13,1,0,3.25
2022-10-27,IND vs NED,4.0,27,1,0,6.75
2022-10-23,IND vs PAK,4.0,25,1,0,6.25
2022-07-17,IND vs ENG,7.0,38,0,0,5.42
2022-07-14,IND vs ENG,10.0,48,1,0,4.8
2022-07-12,IND vs ENG,7.0,31,3,0,4.42
2022-05-29,GT vs RR,4.0,33,1,0,8.25
2022-05-24,GT vs RR,4.0,43,1,0,10.75
2022-05-19,GT vs RCB,2.0,23,0,0,11.5
2022-05-15,GT vs CSK,4.0,19,2,0,4.75
2022-05-10,GT vs LSG,3.0,5,1,0,1.66
2022-05-06,GT vs MI,4.0,42,0,0,10.5
2022-05-03,GT vs PBKS,4.0,43,1,0,10.75
2022-04-30,GT vs RCB,4.0,39,1,0,9.75
2022-04-27,GT vs SRH,4.0,39,3,0,9.75
2022-04-23,GT vs KOL,4.0,20,2,0,5.0
2022-04-17,GT vs CSK,4.0,20,1,0,5.0
2022-04-14,GT vs RR,4.0,39,1,0,9.75
2022-04-11,GT vs SRH,4.0,32,0,0,8.0
2022-04-08,GT vs PBKS,4.0,36,1,0,9.0
2022-04-02,GT vs DC,4.0,30,2,0,7.5
2022-03-28,GT vs LSG,4.0,25,3,0,6.25
2021-11-08,IND vs NAM,4.0,39,0,0,9.75
2021-11-05,IND vs SCO,3.0,15,3,1,5.0
2021-11-03,IND vs AFG,4.0,32,3,0,8.0
2021-10-31,IND vs NZ,1.0,11,0,0,11.0
2021-10-24,IND vs PAK,3.5,43,0,0,11.21
2021-10-18,IND vs ENG,4.0,40,3,0,10.0
2021-10-07,PBKS vs CSK,4.0,22,1,0,5.5
2021-10-03,PBKS vs RCB,4.0,39,3,0,9.75
2021-10-01,PBKS vs KKR,4.0,23,1,0,5.75
2021-09-28,PBKS vs MI,4.0,42,1,0,10.5
2021-09-25,PBKS vs SRH,4.0,14,2,1,3.5
2021-09-21,PBKS vs RR,4.0,21,3,0,5.25
2021-05-02,PBKS vs DC,3.0,37,0,0,12.33
2021-04-30,PBKS vs BLR,3.4,28,1,0,7.63
2021-04-26,PBKS vs KKR,4.0,25,1,0,6.25
2021-04-23,PBKS vs MI,4.0,21,2,0,5.25
2021-04-21,PBKS vs SRH,2.0,16,0,0,8.0
2021-04-18,PBKS vs DC,4.0,53,0,0,13.25
2021-04-16,PBKS vs CSK,4.0,21,2,0,5.25
2021-04-12,PBKS vs RR,4.0,33,2,0,8.25
2020-12-04,IND vs AUS,4.0,46,0,0,11.5
2020-11-29,IND vs AUS,9.0,73,1,0,8.11
2020-11-27,IND vs AUS,10.0,59,3,0,5.9
2020-11-01,KXIP vs CSK,4.0,29,0,0,7.25
2020-10-30,KXIP vs RR,3.0,36,0,0,12.0
2020-10-26,KXIP vs KKR,4.0,35,3,0,8.75
2020-10-24,KXIP vs SRH,4.0,34,1,0,8.5
2020-10-20,KXIP vs DC,4.0,28,2,0,7.0
