Date,Match,Overs,Runs,Wick,Mdns,Economy
2017-01-08,HBH vs SYT,2.0,32,0,0,16.0
2016-12-30,HBH vs BRH,3.0,34,1,0,11.33
2016-12-26,HBH vs MLS,4.0,56,0,0,14.0
2016-12-23,HBH vs SYS,3.2,32,3,0,9.6
2016-08-11,GLAM vs YORKS,4.0,34,1,0,8.5
2016-07-28,MDX vs SUS,2.0,13,1,0,6.5
2016-07-22,GLAM vs SOM,3.0,25,2,0,8.33
2016-07-14,GLAM vs HAM,1.0,12,0,0,12.0
2016-07-10,GLAM vs GLOUCS,3.0,27,0,0,9.0
2016-07-08,GLAM vs MDX,3.0,17,2,0,5.67
2016-07-07,GLAM vs SUS,3.0,25,0,0,8.33
2016-02-21,PSZ vs ISU,4.0,35,2,0,8.75
2016-02-19,PSZ vs QTG,4.0,23,2,0,5.75
2016-02-14,PSZ vs QTG,3.0,26,0,0,8.66
2016-02-13,PSZ vs LHQ,4.0,30,0,0,7.5
2016-02-12,PSZ vs ISU,4.0,18,1,1,4.5
2016-02-11,PSZ vs KRK,4.0,45,1,0,11.25
2016-02-07,PSZ vs QTG,4.0,32,1,0,8.0
2016-02-06,PSZ vs LHQ,4.0,29,1,0,7.25
2016-02-05,PSZ vs ISU,4.0,24,2,0,6.0
2016-01-31,AUS vs IND,4.0,46,0,0,11.5
2016-01-26,AUS vs IND,4.0,45,0,0,11.25
2016-01-13,HBH vs ADS,4.0,30,1,0,7.5
2016-01-10,HBH vs PRS,4.0,29,2,0,7.25
2016-01-06,HBH vs MLS,3.0,22,0,0,7.33
2016-01-04,HBH vs MLR,4.0,38,0,0,9.5
2016-01-01,HBH vs SYT,4.0,16,3,0,4.0
2015-12-29,HBH vs BRH,4.0,54,1,0,13.5
2015-12-22,HBH vs BRH,4.0,25,1,0,6.25
2015-12-20,HBH vs SYS,4.0,33,2,0,8.25
2015-08-13,ESS vs WARKS,3.0,37,1,0,12.33
2015-07-17,ESS vs MDX,4.0,19,2,0,4.75
2015-07-10,ESS vs MDX,4.0,26,0,0,6.5
2015-06-26,ESS vs HAM,4.0,34,2,0,8.5
2015-06-19,ESS vs GLAM,3.0,33,3,0,11.0
2015-06-18,ESS vs KENT,4.0,48,1,0,12.0
2015-06-12,ESS vs SUS,4.0,29,3,0,7.25
2015-06-11,ESS vs GLOUCS,4.0,40,1,0,10.0
2015-06-05,ESS vs SUR,3.0,20,2,0,6.67
2015-05-29,ESS vs SOM,4.0,29,2,0,7.25
2015-05-24,ESS vs GLOUCS,4.0,37,2,0,9.25
2015-05-22,ESS vs GLAM,4.0,28,3,0,7.0
2015-05-16,ESS vs SUR,4.0,26,0,0,6.5
2015-05-15,ESS vs HAM,4.0,39,1,0,9.75
2015-01-24,ADS vs SYS,4.0,30,1,0,7.5
2015-01-14,ADS vs SYS,4.0,29,2,0,7.25
2015-01-06,ADS vs PRS,4.0,27,2,0,6.75
2014-12-31,ADS vs HBH,4.0,22,3,0,5.5
2014-12-18,ADS vs MLS,3.0,24,0,0,8.0
2014-10-11,SAUS vs QL,8.0,62,2,1,7.75
2014-10-07,SAUS vs WA,10.0,39,2,0,3.9
2014-10-03,SAUS vs NSW,9.0,68,0,0,7.47
2014-01-22,ADS vs MLR,4.0,44,2,0,11.0
2014-01-18,ADS vs BRH,4.0,26,2,0,6.5
2014-01-16,ADS vs PRS,4.0,41,3,0,10.25
2014-01-09,ADS vs MLS,3.0,33,0,0,11.0
2014-01-05,ADS vs SYS,4.0,34,1,0,8.5
2013-12-31,ADS vs PRS,4.0,27,2,0,6.75
2013-12-27,ADS vs SYT,4.0,36,1,0,9.0
2013-08-17,ESS vs NOR,3.0,29,0,0,9.35
2013-08-08,ESS vs NOTTS,4.0,29,4,0,7.25
2013-07-31,ESS vs SUR,4.0,28,2,0,7.0
2013-07-26,ESS vs HAM,4.0,27,1,0,6.75
2013-07-21,ESS vs SUS,3.0,20,1,0,6.67
2013-07-15,ESS vs SUR,4.0,21,1,0,5.25
2013-07-14,ESS vs SUS,4.0,26,4,0,6.5
2013-07-12,ESS vs MDX,3.0,25,2,0,8.33
2013-07-08,ESS vs KENT,3.0,23,1,0,6.97
2013-07-05,ESS vs KENT,3.0,14,0,0,4.67
2013-07-04,ESS vs MDX,4.0,32,0,0,8.0
2013-05-07,RR vs DC,3.0,39,0,0,13.0
2013-04-20,RR vs RCB,3.0,30,0,0,10.0
2013-04-08,RR vs KKR,4.0,29,1,0,7.25
2013-01-10,ADS vs PRS,4.0,36,1,0,9.0
2013-01-05,ADS vs HBH,4.0,23,1,0,5.75
2012-12-27,ADS vs MLS,4.0,36,2,0,9.0
2012-12-23,ADS vs SYS,3.0,13,2,0,4.33
2012-12-20,ADS vs SYT,3.0,22,3,0,7.33
2012-05-20,RR vs MI,4.0,40,0,0,10.0
2012-05-18,RR vs DC,3.4,35,0,0,9.54
2012-05-13,RR vs PWI,4.0,25,1,0,6.25
2012-05-10,RR vs CSK,3.1,20,0,0,6.31
2012-05-08,RR vs PWI,4.0,13,3,0,3.25
2012-05-05,RR vs PBKS,4.0,18,2,0,4.5
2012-01-07,MLR vs MLS,3.0,31,1,0,10.33
2012-01-02,MLR vs SYS,2.0,21,0,0,10.5
2011-12-30,MLR vs SYT,4.0,31,2,0,7.75
2011-12-22,MLR vs PRS,4.0,40,0,0,10.0
2011-12-18,MLR vs ADS,3.0,41,1,0,13.66
2011-10-05,SAUS vs RCB,4.0,32,5,0,8.0
2011-09-25,SAUS vs WAR,4.0,53,1,0,13.25
2011-05-15,RR vs KTK,3.0,36,0,0,12.0
2011-04-21,RR vs PBKS,4.0,22,3,1,5.5
2011-04-17,RR vs KKR,3.5,29,1,0,7.56
2011-04-12,RR vs DC,4.0,40,2,0,10.0
2011-03-24,AUS vs IND,7.0,52,1,0,7.42
2011-03-19,AUS vs PAK,8.0,37,0,1,4.62
2011-03-16,AUS vs CAN,8.0,34,2,1,4.25
2011-03-13,AUS vs KEN,8.0,49,2,0,6.13
2011-02-24,AUS vs NZ,7.0,35,3,0,5.0
2011-02-21,AUS vs ZIM,9.0,34,2,1,3.77
2011-02-15,AUS vs RSA,8.0,37,0,0,4.63
2011-02-06,AUS vs ENG,8.0,48,3,1,6.0
2011-02-02,AUS vs ENG,10.0,59,2,0,5.9
2011-01-21,AUS vs ENG,5.5,30,0,0,5.14
2011-01-14,AUS vs ENG,4.0,39,1,0,9.75
2011-01-12,AUS vs ENG,4.0,40,1,0,10.0
2010-09-25,SAUS vs WAR,4.0,38,2,0,9.5
2010-09-17,SAUS vs RCB,4.0,23,2,0,5.75
2010-09-14,SAUS vs MI,4.0,27,1,0,6.75
2010-09-12,SAUS vs LIONS,4.0,36,3,0,9.0
2010-07-06,AUS vs PAK,4.0,37,0,0,9.25
2010-07-05,AUS vs PAK,4.0,25,2,0,6.25
2010-07-03,AUS vs ENG,8.3,48,4,0,5.64
2010-06-30,AUS vs ENG,7.0,23,1,2,3.28
2010-06-27,AUS vs ENG,10.0,28,3,1,2.8
2010-05-16,AUS vs ENG,3.0,28,1,0,9.33
2010-05-14,AUS vs PAK,4.0,25,0,0,6.25
2010-05-10,AUS vs WI,3.0,12,0,0,4.0
2010-05-09,AUS vs SL,2.0,10,1,0,5.0
2010-05-07,AUS vs IND,3.4,21,3,0,5.72
2010-05-05,AUS vs BAN,4.0,15,1,2,3.75
