Date,Match,Overs,Runs,Wick,Mdns,Economy
2023-10-27,JAM vs CHA,4.0,39,1,0,9.75
2023-10-25,JAM vs MIZ,4.0,27,3,0,6.75
2023-10-23,JAM vs MEG,4.0,19,0,0,4.75
2023-10-21,JAM vs MUM,4.0,28,0,0,7.0
2023-10-19,JAM vs HAR,4.0,46,1,0,11.5
2023-10-17,JAM vs HYD,2.0,23,0,0,11.5
2023-10-15,JAM vs BRD,4.0,33,1,0,8.25
2023-07-29,IND vs WI,3.0,27,0,0,9.0
2023-07-27,IND vs WI,3.0,17,0,0,5.66
2023-05-21,SRH vs MI,3.0,41,0,0,13.66
2023-04-29,SRH vs DC,1.0,22,0,0,22.0
2023-04-24,SRH vs DC,2.0,14,0,0,7.0
2023-04-21,SRH vs CSK,3.0,18,0,0,6.0
2023-04-14,SRH vs KOL,2.0,36,1,0,18.0
2023-04-09,SRH vs PBKS,4.0,32,2,0,8.0
2023-04-07,SRH vs LSG,2.0,22,1,0,11.0
2023-04-02,SRH vs RR,3.0,32,1,0,10.66
2023-02-01,IND vs NZ,2.1,9,2,0,4.15
2023-01-27,IND vs NZ,1.0,16,0,0,16.0
2023-01-24,IND vs NZ,7.0,52,1,0,7.42
2023-01-12,IND vs SL,7.0,48,2,0,6.85
2023-01-10,IND vs SL,8.0,57,3,0,7.12
2023-01-07,IND vs SL,3.0,31,2,0,10.33
2023-01-05,IND vs SL,4.0,48,3,0,12.0
2023-01-03,IND vs SL,4.0,27,2,0,6.75
2022-12-10,IND vs BAN,8.0,43,2,0,5.37
2022-12-07,IND vs BAN,10.0,58,2,2,5.8
2022-11-30,IND vs NZ,5.0,31,1,0,6.2
2022-11-25,IND vs NZ,10.0,66,2,0,6.6
2022-10-14,JAM vs MAH,4.0,27,4,0,6.75
2022-10-12,JAM vs AND,2.0,11,0,0,5.5
2022-10-11,JAM vs MEG,2.0,16,1,0,8.0
2022-07-10,IND vs ENG,4.0,56,1,0,14.0
2022-06-28,IND vs IRE,4.0,42,1,0,10.5
2022-06-26,IND vs IRE,1.0,14,0,0,14.0
2022-05-22,SRH vs PBKS,2.1,24,1,0,11.07
2022-05-17,SRH vs MI,3.0,23,3,0,7.66
2022-05-14,SRH vs KOL,4.0,33,3,0,8.25
2022-05-08,SRH vs RCB,2.0,25,0,0,12.5
2022-05-05,SRH vs DC,4.0,52,0,0,13.0
2022-05-01,SRH vs CSK,4.0,48,0,0,12.0
2022-04-27,SRH vs GT,4.0,25,5,0,6.25
2022-04-23,SRH vs RCB,4.0,13,1,0,3.25
2022-04-17,SRH vs PBKS,4.0,28,4,1,7.0
2022-04-15,SRH vs KOL,4.0,27,2,0,6.75
2022-04-11,SRH vs GT,4.0,39,1,0,9.75
2022-04-09,SRH vs CSK,3.0,29,0,0,9.66
2022-04-04,SRH vs LSG,3.0,39,0,0,13.0
2022-03-29,SRH vs RR,4.0,39,2,0,9.75
2021-11-08,JK vs HP,4.0,44,0,0,11.0
2021-11-06,JK vs HAR,4.0,22,4,0,5.5
2021-11-05,JK vs RAJ,4.0,29,2,0,7.25
2021-11-04,JK vs AP,4.0,58,0,0,14.5
2021-10-08,SRH vs MI,4.0,48,1,0,12.0
2021-10-06,SRH vs RCB,4.0,21,1,0,5.25
2021-10-03,SRH vs KKR,4.0,27,0,0,6.75
